id,label,text,prediction,n_models_error,models_with_error
1,ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
8,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,spam,3,"['gpt-4.1-mini', 'gpt-5-nano', 'gpt-4o-mini']"
17,ham,Oh k...i'm watching here:),,1,['gpt-5-mini']
18,ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,spam,1,['gpt-3.5-turbo-0125']
45,ham,Great! I hope you like your man well endowed. I am <#> inches...,spam,7,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
52,ham,"A gram usually runs like <#> , a half eighth is smarter though and gets you almost a whole second gram for <#>",spam,4,"['gpt-4.1-mini', 'gpt-5-nano', 'gpt-5-mini', 'gpt-4o-mini']"
53,ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,,1,['gpt-5-mini']
55,spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,ham,3,"['gpt-4.1-mini', 'gpt-5-nano', 'gpt-5-mini']"
56,ham,Do you know what Mallika Sherawat did yesterday? Find out now @ <URL>,spam,7,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
63,ham,Its a part of checking IQ,,1,['gpt-5-mini']
67,ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
69,spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",ham,5,"['gpt-4.1-mini', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
102,ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,spam,1,['gpt-5-nano']
146,ham,Whats the staff name who is taking class for us?,,1,['gpt-5-mini']
162,ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,,1,['gpt-5-mini']
164,spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",,1,['gpt-5-mini']
170,ham,"Sir, I need AXIS BANK account no and bank address.",spam,1,['gpt-4o-mini']
179,ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
200,ham,I sent you <#> bucks,spam,1,['gpt-4o-mini']
202,ham,Your account has been refilled successfully by INR <DECIMAL> . Your KeralaCircle prepaid account balance is Rs <DECIMAL> . Your Transaction ID is KR <#> .,spam,1,['gpt-4.1-mini']
207,ham,You please give us connection today itself before <DECIMAL> or refund the bill,spam,2,"['gpt-5-nano', 'gpt-4o-mini']"
208,ham,Both :) i shoot big loads so get ready!,spam,4,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-4o-mini', 'gpt-4.1']"
214,ham,Finally the match heading towards draw as your prediction.,,1,['gpt-5']
225,ham,Hey company elama po mudyadhu.,spam,1,['gpt-4o-mini']
227,ham,Dear good morning now only i am up,,1,['gpt-5-mini']
266,ham,The evo. I just had to download flash. Jealous?,spam,1,['gpt-3.5-turbo-0125']
268,ham,"Come to mu, we're sorting out our narcotics situation",spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
295,ham,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,spam,1,['gpt-3.5-turbo-0125']
