id,label,text,prediction,n_models_error,models_with_error
69,spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",ham,5,"['gpt-4.1-mini', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
701,ham,"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you.",spam,5,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5-mini', 'gpt-4o-mini']"
888,ham,WHITE FUDGE OREOS ARE IN STORES,spam,5,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5-mini', 'gpt-4o-mini']"
1051,ham,Where can download clear movies. Dvd copies.,spam,5,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini', 'gpt-4.1']"
1638,ham,Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.,spam,5,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini', 'gpt-4.1']"
1872,ham,Excellent! Are you ready to moan and scream in ecstasy?,spam,5,"['gpt-3.5-turbo-0125', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
2158,spam,"Hi ya babe x u 4goten bout me?' scammers getting smart..Though this is a regular vodafone no, if you respond you get further prem rate msg/subscription. Other nos used also. Beware!",ham,5,"['gpt-4.1-mini', 'gpt-5-nano', 'gpt-5', 'gpt-5-mini', 'gpt-4.1']"
2233,ham,Am surfing online store. For offers do you want to buy any thing.,spam,5,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5-mini', 'gpt-4o-mini']"
2331,ham,"Indians r poor but India is not a poor country. Says one of the swiss bank directors. He says that "" <#> lac crore"" of Indian money is deposited in swiss banks which can be used for 'taxless' budget for <#> yrs. Can give <#> crore jobs to all Indians. From any village to Delhi 4 lane roads. Forever free power suply to more than <#> social projects. Every citizen can get monthly <#> /- for <#> yrs. No need of World Bank & IMF loan. Think how our money is blocked by rich politicians. We have full rights against corrupt politicians. Itna forward karo ki pura INDIA padhe.g.m.""",spam,5,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini']"
2397,ham,"Ola would get back to you maybe not today but I ve told him you can be his direct link in the US in getting cars he bids for online, you arrange shipping and you get a cut. Or U????? For a partnership where U????? Invest money for shipping and he takes care of the rest!U??Wud b self reliant soon dnt worry",spam,5,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5-mini', 'gpt-4o-mini']"
2861,ham,"<#> is fast approaching. So, Wish u a very Happy New Year Happy Sankranti Happy republic day Happy Valentines Day Happy Shivratri Happy Ugadi Happy Fools day Happy May Day Happy Independence Day, Happy Friendship,Mother,Father,Teachers,Childrens Day, & HAPPY BIRTHDAY 4 U. Happy Ganesh festival Happy Dasara Happy Diwali Happy Christmas <#> Good Mornings Afternoons, Evenings Nights. RememberI AM the first to WISHING U ALL THESE...your's Raj",spam,5,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini']"
3053,ham,"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it....",spam,5,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5', 'gpt-4o-mini', 'gpt-4.1']"
3268,ham,i am seeking a lady in the street and a freak in the sheets. Is that you?,spam,5,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
3654,ham,Cab is available.they pick up and drop at door steps.,spam,5,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5-mini', 'gpt-4o-mini']"
3656,ham,Unlimited texts. Limited minutes.,spam,5,"['gpt-4.1-mini', 'gpt-5-nano', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini']"
4063,ham,Its a valentine game. . . send dis msg to all ur friends. . If 5 answers r d same then someone really loves u. . Ques- which colour suits me the best?,spam,5,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
4620,ham,I want to see your pretty pussy...,spam,5,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
4683,ham,Go chase after her and run her over while she's crossing the street,spam,5,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5-mini', 'gpt-4o-mini']"
5131,spam,ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O £250 3 WANT £800,ham,5,"['gpt-4.1-mini', 'gpt-5-nano', 'gpt-5', 'gpt-5-mini', 'gpt-4.1']"
